id;qid;question;answer;metadata
1;89987;incremental;Markets quantifying Refined;Brand silver Cambridgeshire
2;92097;migration Harbor;experiences Isle of Man;Bedfordshire Hat maroon
3;69501;Configuration;Lead;dot-com
4;97700;Soap Armenian Dram;open-source Lithuania;bluetooth bandwidth RAM
5;52419;Metal;copy Multi-lateral Technician;Liaison
6;37539;scalable circuit;neutral Internal;Gloves
7;82532;Wooden Generic;back-end Cloned;Metal
8;55007;fuchsia solid state application;Expanded;mint green quantifying Bedfordshire
9;58159;Metrics;networks strategic;Utah
10;47850;payment;Metal;Mews plug-and-play
