id;text;input_control;master_values;status
1;Brand;Pataca Vista Cambridgeshire;incremental Accounts;INACTIVE
2;system-worthy;Granite Nepalese Rupee;protocol Ergonomic;INACTIVE
3;focus group Future;Buckinghamshire Mouse;Avon Gorgeous Associate;ACTIVE
4;open-source;maroon Industrial;withdrawal;ACTIVE
5;Representative;Awesome CSS;generate web-readiness best-of-breed;ACTIVE
6;Computers CSS Toys;Credit Card Account Way;Dynamic;ACTIVE
7;COM Electronics;firewall payment asynchronous;Dam Chicken Pound Sterling;ACTIVE
8;Turnpike program;Savings Account;compress;ACTIVE
9;Gloves Specialist reintermediate;Corporate Adaptive;methodologies Saudi Riyal Engineer;ACTIVE
10;collaborative Sudan programming;De-engineered Reactive;cyan Clothing;ACTIVE
