id;service_type;name;description;status;status_description;sub_status;remarks
1;MEDICAL;Isle Micronesia;Health;PENDING;e-business generating Home;REJECTED;Dynamic Mobility homogeneous
2;MEDICAL;salmon Dobra;Credit Card Account Unbranded Frozen Hat Automotive;PENDING;Iran extend;INITIATED;Vermont Wisconsin
3;MEDICAL;Flats;Movies;NEW;transmitting 24/365 one-to-one;REJECTED;Mouse transmitter Small Concrete Tuna
4;FOOD;deposit;Hungary;PENDING;Cross-group heuristic Ukraine;INITIATED;Frozen enterprise bluetooth
5;FACILITIES;Denar red Hill;Plastic;CLOSED;hacking Credit Card Account;COMPLETED;Savings Account Licensed
6;FOOD;deploy;Armenian Dram Fresh;PENDING;Multi-layered Health array;COMPLETED;maximized
7;MEDICAL;magenta maximize bandwidth;lime invoice;CLOSED;Object-based Knoll;COMPLETED;Accounts solid state
8;FOOD;Tunisian Dinar orange;Director;PENDING;Shoes Checking Account;REJECTED;hardware Directives Home
9;FOOD;Fundamental Junctions;User-friendly Unbranded Soft Chicken proactive;NEW;mobile;INITIATED;quantify
10;FACILITIES;Streamlined;Rustic Plastic Shoes Legacy;NEW;engage;COMPLETED;interactive
