id;name;code;status;start_date;end_date;metadata;manipulate_symptom
1;Maine;Plastic payment next-generation;ACTIVE;2020-09-26T10:13:19;2020-09-26T03:40:49;Bulgarian Lev Persevering;false
2;Table Key teal;Garden;INACTIVE;2020-09-26T08:07:01;2020-09-26T05:11:43;Forward Ports;false
3;wireless;Metal Turks and Caicos Islands;INACTIVE;2020-09-26T12:55:22;2020-09-26T17:03:48;Chief;false
4;Sports Soap Avon;Pass Small;ACTIVE;2020-09-26T10:14:35;2020-09-26T00:20:26;Profound Ohio Garden;true
5;Health Station;deliverables synthesizing Indiana;INACTIVE;2020-09-26T02:26:56;2020-09-26T11:29:06;Paradigm;false
6;Checking Account Tasty Frozen Ball;Incredible Sports;ACTIVE;2020-09-26T04:37:49;2020-09-26T06:11:08;Home Loan Account Generic Cotton Tuna metrics;true
7;5th generation;calculating Assistant;INACTIVE;2020-09-25T17:15:59;2020-09-26T07:57:16;Buckinghamshire sky blue ubiquitous;true
8;Books;content firewall Tasty Frozen Shirt;ACTIVE;2020-09-25T22:48:26;2020-09-26T13:13:36;programming Tools;false
9;morph;Fresh matrix;INACTIVE;2020-09-25T23:22:17;2020-09-26T13:38:15;Fresh tangible middleware;false
10;deposit compressing;Bedfordshire Mobility overriding;INACTIVE;2020-09-26T01:45:29;2020-09-26T15:08:12;Face to face;false
